,customer_id,transaction_date,transaction_amount
0,CUST_1899,2022-01-01,402.74
1,CUST_630,2022-01-01,242.51
2,CUST_1258,2022-01-01,62.26
3,CUST_119,2022-01-01,477.95
4,CUST_2885,2022-01-01,490.45
5,CUST_819,2022-01-01,185.12
6,CUST_1453,2022-01-01,287.57
7,CUST_903,2022-01-01,418.0
8,CUST_2229,2022-01-01,143.68
9,CUST_313,2022-01-01,220.02
10,CUST_841,2022-01-01,179.6
11,CUST_526,2022-01-02,215.32
12,CUST_2982,2022-01-02,70.64
13,CUST_2372,2022-01-02,293.9
14,CUST_909,2022-01-02,151.62
15,CUST_697,2022-01-02,153.53
16,CUST_2328,2022-01-02,290.46
17,CUST_1522,2022-01-02,27.38
18,CUST_1781,2022-01-02,149.21
19,CUST_2840,2022-01-02,420.77
20,CUST_1039,2022-01-02,269.56
21,CUST_2665,2022-01-02,338.46
22,CUST_2950,2022-01-02,308.59
23,CUST_2083,2022-01-02,467.98
24,CUST_874,2022-01-02,61.62
25,CUST_2352,2022-01-02,237.92
26,CUST_747,2022-01-02,291.17
27,CUST_665,2022-01-02,218.79
28,CUST_2118,2022-01-02,260.85
29,CUST_12,2022-01-02,446.87
30,CUST_2000,2022-01-02,458.59
31,CUST_2822,2022-01-02,306.55
32,CUST_2803,2022-01-02,42.69
33,CUST_2727,2022-01-03,447.2
34,CUST_1785,2022-01-03,377.22
35,CUST_1425,2022-01-03,32.33
36,CUST_2914,2022-01-03,132.09
37,CUST_1823,2022-01-03,375.88
38,CUST_2333,2022-01-03,177.52
39,CUST_2741,2022-01-03,348.03
40,CUST_1644,2022-01-03,397.53
41,CUST_430,2022-01-04,104.11
42,CUST_1500,2022-01-04,396.55
43,CUST_1923,2022-01-04,256.91
44,CUST_656,2022-01-04,184.21
45,CUST_86,2022-01-04,136.57
46,CUST_579,2022-01-04,433.67
47,CUST_2629,2022-01-04,448.13
48,CUST_1448,2022-01-04,229.03
49,CUST_2374,2022-01-04,51.33
50,CUST_2392,2022-01-04,223.63
51,CUST_1082,2022-01-04,355.27
52,CUST_1482,2022-01-04,391.21
53,CUST_1640,2022-01-04,324.26
54,CUST_247,2022-01-04,377.99
55,CUST_914,2022-01-05,119.18
56,CUST_2980,2022-01-05,304.88
57,CUST_967,2022-01-05,104.06
58,CUST_912,2022-01-05,404.89
59,CUST_2285,2022-01-05,151.48
60,CUST_221,2022-01-05,190.72
61,CUST_1477,2022-01-05,485.83
62,CUST_2020,2022-01-05,208.34
63,CUST_1488,2022-01-05,241.27
64,CUST_13,2022-01-05,308.64
65,CUST_322,2022-01-05,430.44
66,CUST_2952,2022-01-05,464.86
67,CUST_1641,2022-01-05,266.35
68,CUST_494,2022-01-05,16.51
69,CUST_1853,2022-01-05,167.46
70,CUST_1257,2022-01-05,78.09
71,CUST_999,2022-01-06,151.43
72,CUST_718,2022-01-06,76.45
73,CUST_2519,2022-01-06,62.39
74,CUST_2156,2022-01-06,149.74
75,CUST_774,2022-01-06,330.01
76,CUST_51,2022-01-06,397.34
77,CUST_265,2022-01-06,493.49
78,CUST_1171,2022-01-06,291.1
79,CUST_1779,2022-01-06,82.6
80,CUST_454,2022-01-06,89.71
81,CUST_1479,2022-01-06,38.04
82,CUST_1448,2022-01-07,390.54
83,CUST_2070,2022-01-07,194.9
84,CUST_890,2022-01-07,45.63
85,CUST_633,2022-01-07,162.14
86,CUST_2252,2022-01-07,260.18
87,CUST_2757,2022-01-07,495.55
88,CUST_798,2022-01-07,429.15
89,CUST_1179,2022-01-07,205.1
90,CUST_2017,2022-01-07,412.66
91,CUST_2797,2022-01-07,47.99
92,CUST_2622,2022-01-07,290.79
93,CUST_2272,2022-01-07,398.91
94,CUST_2538,2022-01-08,150.92
95,CUST_2057,2022-01-08,351.73
96,CUST_2979,2022-01-08,225.24
97,CUST_2414,2022-01-08,432.87
98,CUST_2998,2022-01-08,166.76
99,CUST_828,2022-01-08,436.9
100,CUST_702,2022-01-08,484.59
101,CUST_1296,2022-01-08,238.76
102,CUST_2242,2022-01-08,335.44
103,CUST_561,2022-01-08,442.39
104,CUST_1119,2022-01-08,458.77
105,CUST_826,2022-01-08,334.45
106,CUST_456,2022-01-08,237.63
107,CUST_1237,2022-01-08,245.81
108,CUST_2301,2022-01-09,68.53
109,CUST_2419,2022-01-09,426.0
110,CUST_1984,2022-01-09,406.33
111,CUST_222,2022-01-09,27.51
112,CUST_2473,2022-01-09,43.11
113,CUST_704,2022-01-09,288.53
114,CUST_1521,2022-01-09,375.5
115,CUST_315,2022-01-09,269.5
116,CUST_796,2022-01-09,224.02
117,CUST_1120,2022-01-09,275.1
118,CUST_2645,2022-01-09,127.87
119,CUST_2110,2022-01-10,231.51
120,CUST_2692,2022-01-10,184.04
121,CUST_57,2022-01-10,118.24
122,CUST_1682,2022-01-10,207.89
123,CUST_1654,2022-01-10,359.29
124,CUST_1210,2022-01-10,337.08
125,CUST_2967,2022-01-10,357.12
126,CUST_2716,2022-01-10,275.96
127,CUST_1272,2022-01-10,249.39
128,CUST_1981,2022-01-11,174.77
129,CUST_700,2022-01-11,328.78
130,CUST_225,2022-01-11,343.96
131,CUST_1499,2022-01-11,227.73
132,CUST_187,2022-01-11,379.82
133,CUST_2601,2022-01-11,472.84
134,CUST_243,2022-01-11,288.37
135,CUST_2312,2022-01-11,48.41
136,CUST_1695,2022-01-11,414.85
137,CUST_229,2022-01-12,394.64
138,CUST_1082,2022-01-12,102.32
139,CUST_1748,2022-01-12,33.2
140,CUST_2369,2022-01-12,381.29
141,CUST_371,2022-01-12,142.96
142,CUST_1684,2022-01-12,42.9
143,CUST_129,2022-01-12,138.68
144,CUST_198,2022-01-12,88.1
145,CUST_2925,2022-01-12,427.62
146,CUST_436,2022-01-12,371.52
147,CUST_1149,2022-01-12,326.26
148,CUST_628,2022-01-12,465.84
149,CUST_2088,2022-01-12,35.41
150,CUST_623,2022-01-12,172.09
151,CUST_1312,2022-01-12,206.95
152,CUST_2026,2022-01-13,30.78
153,CUST_2908,2022-01-13,289.18
154,CUST_2592,2022-01-13,209.65
155,CUST_1908,2022-01-13,128.68
156,CUST_1474,2022-01-13,180.77
157,CUST_1214,2022-01-13,157.4
158,CUST_2210,2022-01-13,454.75
159,CUST_1067,2022-01-13,325.56
160,CUST_1891,2022-01-13,433.32
161,CUST_198,2022-01-13,123.55
162,CUST_2845,2022-01-13,305.03
163,CUST_2088,2022-01-13,390.7
164,CUST_2921,2022-01-14,59.15
165,CUST_2154,2022-01-14,125.04
166,CUST_273,2022-01-14,47.33
167,CUST_1477,2022-01-14,286.8
168,CUST_2043,2022-01-14,224.52
169,CUST_2343,2022-01-14,256.02
170,CUST_2450,2022-01-14,394.45
171,CUST_1150,2022-01-14,486.05
172,CUST_2062,2022-01-14,246.99
173,CUST_2534,2022-01-14,230.48
174,CUST_2726,2022-01-14,187.86
175,CUST_2360,2022-01-14,458.86
176,CUST_897,2022-01-14,302.72
177,CUST_2844,2022-01-15,47.32
178,CUST_1120,2022-01-15,258.67
179,CUST_2426,2022-01-15,110.93
180,CUST_2249,2022-01-15,380.78
181,CUST_886,2022-01-15,417.59
182,CUST_2602,2022-01-15,468.96
183,CUST_1020,2022-01-15,20.93
184,CUST_1733,2022-01-15,348.25
185,CUST_1047,2022-01-15,166.1
186,CUST_2855,2022-01-15,362.17
187,CUST_1489,2022-01-15,211.8
188,CUST_1547,2022-01-16,131.77
189,CUST_2921,2022-01-16,68.33
190,CUST_880,2022-01-16,25.46
191,CUST_981,2022-01-16,375.89
192,CUST_570,2022-01-16,270.28
193,CUST_1764,2022-01-16,411.77
194,CUST_250,2022-01-16,65.56
195,CUST_2571,2022-01-16,28.47
196,CUST_1976,2022-01-16,379.08
197,CUST_2895,2022-01-16,329.17
198,CUST_298,2022-01-16,301.58
199,CUST_2304,2022-01-16,397.67
200,CUST_1106,2022-01-16,336.17
201,CUST_2729,2022-01-16,58.75
202,CUST_2503,2022-01-16,12.42
203,CUST_715,2022-01-16,352.07
204,CUST_982,2022-01-16,112.6
205,CUST_1902,2022-01-16,94.2
206,CUST_1803,2022-01-16,468.6
207,CUST_2427,2022-01-16,248.17
208,CUST_2212,2022-01-17,100.75
209,CUST_807,2022-01-17,449.03
210,CUST_2569,2022-01-17,199.47
211,CUST_2914,2022-01-17,114.25
212,CUST_1090,2022-01-17,105.92
213,CUST_166,2022-01-17,473.0
214,CUST_1415,2022-01-17,237.32
215,CUST_1582,2022-01-17,18.63
216,CUST_2259,2022-01-17,440.21
217,CUST_658,2022-01-17,31.17
218,CUST_1936,2022-01-17,167.66
219,CUST_469,2022-01-17,178.37
220,CUST_1464,2022-01-17,183.29
221,CUST_152,2022-01-17,195.42
